Lat,lon,elevation,PercentClear,NE,SE,SW,NW
24.68291667,72.80708333,1619,96,25,23.5,22.8,25
24.68208333,72.80958333,1612,96,25,23.5,22.7,25
24.68541667,72.82125,1574,90,25,23.5,18.6,22.6
25.36875,73.82041667,849,91,25,20.5,20.4,25
25.37125,73.82208333,856,91,25,20.5,20.7,25
25.37208333,73.82291667,846,90,25,19.9,20.5,25
24.36625,72.88625,908,91,25,23.4,25,17.4
24.40208333,72.95125,917,91,25,23.4,25,17.4
24.40375,72.95458333,927,91,25,23.4,25,17.6
25.34041667,73.88125,906,90,19.1,23.5,22.6,24.9
25.46458333,73.88125,942,97,25,23.5,23.9,24.8
25.34541667,73.88958333,933,97,25,23.5,23.1,25
25.34625,73.88875,935,97,25,23.5,23.1,25
25.46458333,73.88125,942,97,25,23.5,23.9,24.8
25.34541667,73.88958333,933,97,25,23.5,23.1,25
25.34541667,73.88958333,933,97,25,23.5,23.1,25
25.35375,73.89375,927,97,25,23.5,23.1,24.9
25.37041667,73.91291667,898,95,25,23.5,22.2,24.6
25.37041667,73.91291667,898,95,25,23.5,22.2,24.6
25.53291667,74.01125,852,96,25,23.5,23.8,23.9
25.54625,74.01041667,865,97,25,23.5,24,24.1
25.55125,74.01791667,823,92,25,23.5,19.1,23.9
24.24125,73.23125,832,92,20.3,23.2,25,23.4
24.19208333,73.24625,840,94,21.7,23.5,25,23.9
24.20291667,73.25125,828,92,20.6,23.5,24.3,23.8
24.20458333,73.25208333,832,93,20.7,23.5,25,23.8
24.20791667,73.25375,837,93,20.8,23.5,25,23.8
24.34291667,73.27041667,927,92,20.6,22.9,25,23.8
24.34958333,73.27291667,945,95,22.5,23.1,25,23.9
24.35541667,73.27375,932,92,21.6,23,23.7,23.8
24.39041667,73.28291667,946,93,20.7,23.1,25,23.8
24.46791667,73.28291667,1010,96,24.2,23.2,25,23.8
24.40208333,73.29208333,960,93,21.7,23.2,25,23.5
24.46041667,73.29125,1010,96,24,23.3,25,23.9
24.50541667,73.28875,977,92,21.6,22,24.2,23.7
24.50541667,73.28875,977,92,21.6,22,24.2,23.7
24.40291667,73.29375,959,93,21.5,23.1,25,23.5
24.47458333,73.29958333,997,94,22.9,23,24.3,23.9
24.57375,73.31791667,1133,93,25,18.4,25,24.3
24.58708333,73.31791667,1107,94,25,22.7,22.4,24.3
24.11041667,73.32291667,771,91,20.7,23.5,25,22
24.12041667,73.32625,776,91,20.4,23.5,25,22
24.57291667,73.31958333,1144,98,25,23.5,25,24.4
24.58541667,73.31875,1110,94,25,23.4,21.3,24.3
24.59708333,73.32041667,1045,90,25,23.5,17.7,24.2
24.12208333,73.32958333,779,91,20.6,23.5,25,22.1
24.12208333,73.32958333,779,91,20.6,23.5,25,22.1
24.15375,73.32958333,799,91,20,23.5,25,22
24.66958333,73.34875,1036,95,23.7,23.2,23.9,24.1
24.67375,73.35125,1046,96,24.3,23.4,24.1,24.2
24.67375,73.35125,1046,96,24.3,23.4,24.1,24.2
24.68458333,73.35875,1022,90,21.3,22.5,22.4,24
24.74541667,73.12541667,962,91,22,21.1,22.6,25
24.74541667,73.12541667,962,91,22,21.1,22.6,25
24.72125,73.37125,1049,90,19.2,22.4,24.3,24.3
24.69541667,73.37791667,1040,93,21.7,23.3,24.2,24.2
24.72791667,73.37791667,1082,97,25,22.5,24.5,24.6
24.73041667,73.38291667,1066,93,24.9,22.2,21.2,24.5
24.33458333,73.39625,1009,98,24.8,23.5,25,24.3
24.25958333,73.40958333,905,90,20.3,23.5,25,21.6
24.33208333,73.40125,991,92,24,23.5,25,19.1
24.25791667,73.41208333,914,92,21.8,23.5,25,21.9
24.78041667,73.15375,1068,97,25,23.2,23.5,25
24.78791667,73.15458333,1031,92,25,22.6,19.1,25
24.65041667,73.43375,1044,94,23.4,23.2,24.2,23.5
24.49458333,73.43958333,1039,97,25,23.2,25,23.5
24.50208333,73.43875,1023,93,24.4,21.1,24.4,22.9
24.65041667,73.43458333,1040,94,23.2,23.1,24.2,23.3
24.65541667,73.43625,1037,93,22.8,22.9,24.1,22.9
24.27875,73.45958333,926,92,23.4,21.8,25,22.1
24.27875,73.45958333,926,92,23.4,21.8,25,22.1
24.28125,73.46208333,927,92,23.4,21.7,25,22.1
24.65125,73.46208333,1031,91,21.7,22.1,24.2,22.9
24.71041667,73.46625,1115,91,17.6,23.5,24.9,24.8
24.27208333,73.47125,936,95,24,23.5,25,22.7
24.27458333,73.47291667,941,95,24.1,23.5,25,22.8
24.28041667,73.47125,932,95,23.6,23.5,25,22.5
24.71375,73.47208333,1169,98,25,23.5,24.9,24.9
24.71375,73.47208333,1169,98,25,23.5,24.9,24.9
24.72041667,73.48291667,1173,98,25,23.5,24.9,24.9
24.86958333,73.29125,1084,90,17.5,23.3,24.5,25
24.87791667,73.29958333,1136,98,24.9,23.4,24.6,25
24.97541667,73.31625,1071,95,23.8,21.4,24.3,25
24.73958333,73.40125,1071,95,24.1,21.6,24.3,24.6
24.73958333,73.40125,1071,95,24.1,21.6,24.3,24.6
24.75375,73.40625,1085,95,23.8,22,24.6,24.7
24.75958333,73.40958333,1093,97,25,22.2,24.6,24.8
24.75958333,73.41041667,1101,97,25,22.5,24.6,24.8
24.78708333,73.41041667,1054,92,24.1,21.5,21.9,24.3
24.79041667,73.41208333,1059,93,24.2,21.7,22.8,24.4
28.06958333,90.44458333,7460,98,25,23.3,25,25
28.04791667,90.45458333,7472,99,25,23.5,25,25
28.19458333,90.48541667,6881,92,24.2,23.5,20.3,24.3
28.19458333,90.48625,6882,92,24.2,23.5,20.4,24.3
27.54458333,89.11541667,5605,95,23.8,23.5,25,22.3
27.57458333,89.16208333,5591,93,22.5,23.5,24.9,22.5
27.37708333,90.74458333,4579,92,23.2,23.5,24.7,20.4
27.57458333,89.16208333,5591,93,22.5,23.5,24.9,22.5
27.82791667,89.26708333,7290,99,25,23.5,25,25
27.82875,89.26708333,7283,99,25,23.5,25,25
27.84458333,89.33458333,6640,93,25,23.5,21.9,22.7
27.84541667,89.33375,6640,93,25,23.5,21.6,22.9
27.87291667,89.36875,6501,91,25,23.5,17.7,24.7
28.08791667,89.53291667,6521,96,23.1,23.5,24.5,25
28.10375,89.54708333,6638,98,25,23.5,24.7,25
28.10375,89.54708333,6638,98,25,23.5,24.7,25
27.78708333,89.56208333,5702,90,22.3,23.5,25,19
27.78708333,89.56208333,5702,90,22.3,23.5,25,19
27.78708333,89.56208333,5702,90,22.3,23.5,25,19
27.78708333,89.56208333,5702,90,22.3,23.5,25,19
28.12791667,89.57375,6280,92,24.8,23.5,19.1,24.9
28.16958333,89.76875,6524,96,24.1,22.5,24.8,24.8
26.99208333,89.67041667,4059,91,22,23.5,25,20.7
26.99208333,89.67041667,4059,91,22,23.5,25,20.7
26.99208333,89.67041667,4059,91,22,23.5,25,20.7
26.99208333,89.67041667,4059,91,22,23.5,25,20.7
27.25041667,89.70375,4686,95,25,23.5,25,21.1
27.25125,89.70375,4688,95,25,23.5,25,21.1
27.25041667,89.70375,4686,95,25,23.5,25,21.1
27.25125,89.70375,4688,95,25,23.5,25,21.1
27.26208333,89.70875,4693,95,25,23.5,25,21
27.26791667,89.71125,4675,91,25,23.5,22.2,20.7
28.17208333,89.94208333,7087,97,24.1,23.3,25,24.8
28.18708333,89.95625,7169,98,25,23.4,25,24.7
28.18708333,89.95625,7169,98,25,23.4,25,24.7
28.14541667,90.02375,6873,92,22.8,22.9,25,21.6
28.14541667,90.02375,6873,92,22.8,22.9,25,21.6
28.15791667,90.07041667,7111,91,25,15.9,25,24.7
28.15625,90.07708333,7132,98,25,23.2,25,24.8
28.14208333,90.10041667,6916,91,25,22.8,25,17.9
28.16541667,90.18291667,7026,97,25,22.6,24.9,24.3
28.14958333,90.21791667,6939,94,25,22.1,25,21.6
28.14791667,90.22041667,6930,94,25,22,25,21.6
28.15791667,90.29458333,6896,94,24.7,21.2,24.5,23.6
28.15708333,90.29541667,6891,94,24.6,21.2,24.6,23.5
28.19958333,90.33708333,6939,96,25,21.6,24.6,24.5
28.19458333,90.34125,6943,96,25,21.5,24.6,24.5
28.19958333,90.33708333,6939,96,25,21.6,24.6,24.5
28.16958333,90.35791667,6925,95,25,21,24.9,24.1
27.23958333,91.81625,4456,91,21.9,20.9,25,23.6
27.24208333,91.81541667,4446,90,21.8,19.9,25,23.5
27.25375,91.81291667,4445,91,21.5,21.5,25,23.4
27.23708333,91.82458333,4477,94,22.1,23.5,25,23.6
27.23541667,91.83041667,4448,90,21.8,23.5,25,19.6
28.06958333,90.44458333,7460,98,25,23.3,25,25
27.25208333,91.93291667,4402,90,19.7,23.5,24.5,22.6
27.29458333,90.36208333,4726,92,23.6,19.9,25,23.6
27.25125,91.93541667,4397,90,19.6,23.5,24.6,22.5
27.29458333,90.36208333,4726,92,23.6,19.9,25,23.6
27.27708333,90.37875,4794,97,24.3,23.5,25,23.9
27.27708333,90.37875,4794,97,24.3,23.5,25,23.9
21.74125,85.14625,1023,91,17.5,23.4,25,25
21.75041667,85.15708333,1057,99,25,23.5,25,25
21.75125,85.15791667,1059,99,25,23.5,25,25
21.79791667,85.23458333,1116,98,25,23.5,24.9,25
22.00708333,85.23625,877,91,24.4,19.9,21.7,24.6
21.79958333,85.24041667,1100,96,25,23.5,22.8,25
21.81125,85.24375,1113,98,25,23.5,24.9,25
22.02291667,85.24791667,868,90,23.4,20.6,21.6,24.5
22.05541667,85.26125,884,90,22,21.8,22.3,24.3
22.05541667,85.26125,884,90,22,21.8,22.3,24.3
21.81541667,85.26875,1076,94,25,23.5,20.6,24.4
21.82541667,85.27625,1081,96,25,23.5,22.6,25
22.09375,85.27958333,928,94,23.8,23,23.2,23.9
21.83708333,85.28791667,1052,93,25,23.5,19.5,25
21.83875,85.28791667,1042,92,25,23.5,18.1,25
22.08625,85.28291667,916,92,23.1,22.9,23,23
22.09958333,85.28541667,941,95,24.7,23.2,23.4,23.8
22.11541667,85.30208333,926,94,24.5,23.2,22.9,23.7
21.36875,85.26958333,1174,97,25,23,24.1,25
21.37208333,85.26791667,1168,97,25,23,24.1,25
21.79958333,85.31125,1034,92,25,23.5,24.8,18.6
22.10375,85.43208333,903,95,24.7,23.4,23.5,23.4
22.10375,85.43208333,903,95,24.7,23.4,23.5,23.4
22.11208333,85.43541667,896,94,24.5,23.4,23.2,23.3
21.88625,86.13458333,950,92,25,17.2,24.9,25
21.88875,86.13625,940,92,25,16.6,24.9,25
21.82208333,86.19458333,1005,92,24.9,17.5,25,25
21.82541667,86.19291667,1009,93,25,18.1,25,25
21.65541667,85.49875,1003,90,25,16.7,24.6,24
21.65541667,85.49875,1003,90,25,16.7,24.6,24
21.44958333,85.50708333,932,96,25,23,24.2,24
21.62125,85.50041667,999,91,19,23.5,24.8,24.1
21.63708333,85.50541667,1061,98,25,23.5,24.9,24.7
21.65541667,85.49875,1003,90,25,16.7,24.6,24
21.44958333,85.50708333,932,96,25,23,24.2,24
21.46708333,85.52375,908,93,23.6,22.6,23,23.4
21.47208333,85.51791667,905,92,23,22.5,22.5,23.5
21.66875,86.21208333,1032,91,19.9,21.3,25,25
21.46708333,85.52458333,909,93,23.7,22.7,23.1,23.4
21.45875,85.53875,913,95,24.4,22.8,24,23.4
21.40875,85.54708333,923,95,25,22.4,24,23.9
21.74125,86.25041667,1101,96,25,21.1,25,25
21.41041667,85.55291667,916,95,25,22.3,24.1,23.8
21.51041667,85.55125,981,97,25,23.4,24.7,23.9
21.51625,85.55291667,981,97,25,23.4,24.7,23.8
21.73291667,86.26375,1108,97,25,22.3,25,25
21.41125,85.55708333,910,94,25,22.2,23.4,23.5
21.73291667,86.26458333,1112,98,25,22.5,25,25
